,instance_type,vcpus,linux_price,windows_price,region
0,c5.12xlarge,48,$0.9664,N/A*,us-east-1
1,c5.18xlarge,72,$1.4261,N/A*,us-east-1
2,c5.24xlarge,96,$1.791,N/A*,us-east-1
3,c5a.12xlarge,48,$0.9219,N/A*,us-east-1
4,c5a.16xlarge,64,$1.1934,N/A*,us-east-1
5,c5a.24xlarge,96,$1.8398,N/A*,us-east-1
6,c5ad.12xlarge,48,$1.0071,N/A*,us-east-1
7,c5ad.16xlarge,64,$1.2783,N/A*,us-east-1
8,c5ad.24xlarge,96,$2.1779,N/A*,us-east-1
9,c5d.12xlarge,48,$1.1284,N/A*,us-east-1
10,c5d.18xlarge,72,$1.6634,N/A*,us-east-1
11,c5d.24xlarge,96,$1.8772,N/A*,us-east-1
12,c5n.18xlarge,72,$1.4487,N/A*,us-east-1
13,c6i.12xlarge,48,$1.0607,N/A*,us-east-1
14,c6i.16xlarge,64,$1.2841,N/A*,us-east-1
15,c6i.24xlarge,96,$1.7513,N/A*,us-east-1
16,c6i.32xlarge,128,$2.2877,N/A*,us-east-1
17,m5.12xlarge,48,$0.9608,N/A*,us-east-1
18,m5.16xlarge,64,$1.4558,N/A*,us-east-1
19,m5.24xlarge,96,$1.8866,N/A*,us-east-1
