,image_name,image_id,region
0,NEWAVE v28.0.3 em 2022-10-31,ami-0eaa3c1108bf002b7,ca-central-1
1,DECOMP v31 em 2022-10-31,ami-0f9238e4e809d6871,ca-central-1
0,AwsBackup_i-0c80ed142ac7c3cfb_0a9794ad-bda1-4133-8514-fa6ef5b21a11,ami-07ad04fed433fb62c,us-east-1
1,NEWAVE v28.0.3 em 2022-10-31,ami-039acec0600b2022d,us-east-1
2,DECOMP v31 em 2022-10-31,ami-01817dcc91846c267,us-east-1
3,DECOMP v31 em 2023-03-09,ami-091882206df0bb26f,us-east-1
4,SMAPTESTE 20230130,ami-0af69c488598619c2,us-east-1
5,anaconda,ami-02e076a9930c53740,us-east-1
6,PREVIVAZ_SMAP,ami-0c43c9230bbf2567c,us-east-1
0,DECOMP v31 em 2023-03-09,ami-09db45b3fbb8f5a58,us-east-2
1,SMAP 2023-02-14,ami-092f45591e4634c58,us-east-2
2,NEWAVE v28.0.3 em 2022-10-31,ami-08514b4c5a46d9aa2,us-east-2
3,DECOMP v31 em 2022-10-31,ami-01ba3546a79d593a6,us-east-2
0,NEWAVE v28.0.3 em 2022-10-31,ami-0b0c1809858d93979,us-west-1
1,DECOMP v31 em 2022-10-31,ami-0fba3d6b9326d3e4b,us-west-1
0,DECOMP v31 em 2022-10-31,ami-0e0181d2d598970cb,us-west-2
1,NEWAVE v28.0.3 em 2022-10-31,ami-04d6adf87b1dd9952,us-west-2
