,instance_type,vcpus,linux_price,windows_price,region
0,c4.4xlarge,16,$0.2203,N/A*,ca-central-1
1,c4.8xlarge,36,$0.4405,N/A*,ca-central-1
2,c5.12xlarge,48,$0.6939,N/A*,ca-central-1
3,c5.18xlarge,72,$1.0408,N/A*,ca-central-1
4,c5.24xlarge,96,$1.3877,N/A*,ca-central-1
5,c5.4xlarge,16,$0.2445,N/A*,ca-central-1
6,c5.9xlarge,36,$0.5204,N/A*,ca-central-1
7,c5.metal,96,$1.3877,N/A*,ca-central-1
8,c5a.12xlarge,48,$0.6939,N/A*,ca-central-1
9,c5a.16xlarge,64,$0.9251,N/A*,ca-central-1
10,c5a.24xlarge,96,$1.3877,N/A*,ca-central-1
11,c5a.4xlarge,16,$0.2313,N/A*,ca-central-1
12,c5a.8xlarge,32,$0.4629,N/A*,ca-central-1
13,c5d.12xlarge,48,$0.6939,N/A*,ca-central-1
14,c5d.18xlarge,72,$1.0408,N/A*,ca-central-1
15,c5d.24xlarge,96,$1.3877,N/A*,ca-central-1
16,c5d.4xlarge,16,$0.2315,N/A*,ca-central-1
17,c5d.9xlarge,36,$0.5204,N/A*,ca-central-1
18,c5d.metal,96,$1.3877,N/A*,ca-central-1
19,c5n.18xlarge,72,$1.0408,N/A*,ca-central-1
20,c5n.4xlarge,16,$0.2393,N/A*,ca-central-1
21,c5n.9xlarge,36,$0.5291,N/A*,ca-central-1
22,c5n.metal,72,$1.0408,N/A*,ca-central-1
23,c6i.12xlarge,48,$0.7285,N/A*,ca-central-1
24,c6i.16xlarge,64,$0.9714,N/A*,ca-central-1
25,c6i.24xlarge,96,$1.4571,N/A*,ca-central-1
26,c6i.32xlarge,128,$1.9428,N/A*,ca-central-1
27,c6i.4xlarge,16,$0.2461,N/A*,ca-central-1
28,c6i.8xlarge,32,$0.4857,N/A*,ca-central-1
29,c6i.metal,128,$1.9428,N/A*,ca-central-1
30,m5.12xlarge,48,$0.7285,N/A*,ca-central-1
31,m5.16xlarge,64,$0.9714,N/A*,ca-central-1
32,m5.24xlarge,96,$1.4571,N/A*,ca-central-1
33,m5.4xlarge,16,$0.3097,N/A*,ca-central-1
34,m5.8xlarge,32,$0.4857,N/A*,ca-central-1
35,m5.metal,96,$1.4571,N/A*,ca-central-1
