,instance_type,vcpus,linux_price,windows_price,region
0,c4.4xlarge,16,$0.1996,N/A*,us-east-2
1,c4.8xlarge,36,$0.3587,N/A*,us-east-2
2,c5.12xlarge,48,$0.4633,N/A*,us-east-2
3,c5.18xlarge,72,$0.732,N/A*,us-east-2
4,c5.24xlarge,96,$1.0134,N/A*,us-east-2
5,c5.4xlarge,16,$0.155,N/A*,us-east-2
6,c5.9xlarge,36,$0.3457,N/A*,us-east-2
7,c5.metal,96,$0.9316,N/A*,us-east-2
8,c5a.12xlarge,48,$0.4564,N/A*,us-east-2
9,c5a.16xlarge,64,$0.6623,N/A*,us-east-2
10,c5a.24xlarge,96,$1.2213,N/A*,us-east-2
11,c5a.4xlarge,16,$0.1595,N/A*,us-east-2
12,c5a.8xlarge,32,$0.3076,N/A*,us-east-2
13,c5ad.12xlarge,48,$0.4561,N/A*,us-east-2
14,c5ad.16xlarge,64,$0.6081,N/A*,us-east-2
15,c5ad.24xlarge,96,$1.0777,N/A*,us-east-2
16,c5ad.4xlarge,16,$0.1817,N/A*,us-east-2
17,c5ad.8xlarge,32,$0.361,N/A*,us-east-2
18,c5d.12xlarge,48,$0.4613,N/A*,us-east-2
19,c5d.18xlarge,72,$0.6907,N/A*,us-east-2
20,c5d.24xlarge,96,$1.1512,N/A*,us-east-2
21,c5d.4xlarge,16,$0.1782,N/A*,us-east-2
22,c5d.9xlarge,36,$0.3609,N/A*,us-east-2
23,c5d.metal,96,$0.9224,N/A*,us-east-2
24,c5n.18xlarge,72,$0.7382,N/A*,us-east-2
25,c5n.4xlarge,16,$0.1531,N/A*,us-east-2
26,c5n.9xlarge,36,$0.3595,N/A*,us-east-2
27,c5n.metal,72,$0.6841,N/A*,us-east-2
28,c6i.12xlarge,48,$0.4789,N/A*,us-east-2
29,c6i.16xlarge,64,$0.6385,N/A*,us-east-2
30,c6i.24xlarge,96,$1.2075,N/A*,us-east-2
31,c6i.32xlarge,128,$1.2815,N/A*,us-east-2
32,c6i.4xlarge,16,$0.1601,N/A*,us-east-2
33,c6i.8xlarge,32,$0.3193,N/A*,us-east-2
34,c6i.metal,128,$1.3234,N/A*,us-east-2
35,m5.12xlarge,48,$0.5053,N/A*,us-east-2
36,m5.16xlarge,64,$1.0893,N/A*,us-east-2
37,m5.24xlarge,96,$1.0816,N/A*,us-east-2
38,m5.4xlarge,16,$0.2257,N/A*,us-east-2
39,m5.8xlarge,32,$0.3571,N/A*,us-east-2
40,m5.metal,96,$1.0926,N/A*,us-east-2
