,instance_type,vcpus,linux_price,windows_price,region
0,c5.12xlarge,48,$0.8555,N/A*,us-west-2
1,c5.18xlarge,72,$1.4872,N/A*,us-west-2
2,c5.24xlarge,96,$1.9231,N/A*,us-west-2
3,c5a.12xlarge,48,$0.9097,N/A*,us-west-2
4,c5a.16xlarge,64,$1.0358,N/A*,us-west-2
5,c5a.24xlarge,96,$1.6608,N/A*,us-west-2
6,c5ad.12xlarge,48,$1.0264,N/A*,us-west-2
7,c5ad.16xlarge,64,$1.701,N/A*,us-west-2
8,c5ad.24xlarge,96,$2.2445,N/A*,us-west-2
9,c5d.12xlarge,48,$0.9373,N/A*,us-west-2
10,c5d.18xlarge,72,$1.4502,N/A*,us-west-2
11,c5d.24xlarge,96,$1.6678,N/A*,us-west-2
12,c5n.18xlarge,72,$1.2277,N/A*,us-west-2
13,c6i.12xlarge,48,$0.9494,N/A*,us-west-2
14,c6i.16xlarge,64,$1.2994,N/A*,us-west-2
15,c6i.24xlarge,96,$2.0318,N/A*,us-west-2
16,c6i.32xlarge,128,$2.4159,N/A*,us-west-2
17,m5.12xlarge,48,$0.9133,N/A*,us-west-2
18,m5.16xlarge,64,$1.2401,N/A*,us-west-2
19,m5.24xlarge,96,$1.7107,N/A*,us-west-2
